# Force and moment coefficients
# dragDir     : (9.708389e-01 2.397330e-01 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (-2.397330e-01 9.708389e-01 0.000000e+00)
# rollAxis    : (9.708389e-01 2.397330e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (-2.397330e-01 9.708389e-01 0.000000e+00)
# magUInf     : 6.180220e+02
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1e-05         	2.831385e-01	-1.398862e-01	4.230247e-01	5.629109e-01	-5.806482e-02	6.209757e-01	-3.395203e-01	-2.814554e-01	1.415693e-01	-6.180229e-22	1.415693e-01	-1.415693e-01
2e-05         	2.755907e-01	-1.468403e-01	4.224310e-01	5.692713e-01	-5.872672e-02	6.279980e-01	-3.433624e-01	-2.846357e-01	1.377953e-01	-6.122880e-22	1.377953e-01	-1.377953e-01
3e-05         	2.685749e-01	-1.499235e-01	4.184985e-01	5.684220e-01	-5.841382e-02	6.268358e-01	-3.426248e-01	-2.842110e-01	1.342875e-01	-6.139647e-22	1.342875e-01	-1.342875e-01
4e-05         	2.637232e-01	-1.526935e-01	4.164167e-01	5.691102e-01	-5.848465e-02	6.275949e-01	-3.430398e-01	-2.845551e-01	1.318616e-01	-5.992019e-22	1.318616e-01	-1.318616e-01
5e-05         	2.615079e-01	-1.539529e-01	4.154607e-01	5.694136e-01	-5.865965e-02	6.280733e-01	-3.433665e-01	-2.847068e-01	1.307539e-01	-5.775594e-22	1.307539e-01	-1.307539e-01
6e-05         	2.584786e-01	-1.556454e-01	4.141241e-01	5.697695e-01	-5.898504e-02	6.287545e-01	-3.438698e-01	-2.848848e-01	1.292393e-01	-5.511972e-22	1.292393e-01	-1.292393e-01
7e-05         	2.567869e-01	-1.564658e-01	4.132527e-01	5.697185e-01	-5.928025e-02	6.289987e-01	-3.441395e-01	-2.848592e-01	1.283934e-01	-5.224895e-22	1.283934e-01	-1.283934e-01
8e-05         	2.560458e-01	-1.566356e-01	4.126815e-01	5.693171e-01	-5.947113e-02	6.287882e-01	-3.441297e-01	-2.846585e-01	1.280229e-01	-4.977598e-22	1.280229e-01	-1.280229e-01
9e-05         	2.553124e-01	-1.566902e-01	4.120027e-01	5.686929e-01	-5.961470e-02	6.283076e-01	-3.439611e-01	-2.843464e-01	1.276562e-01	-4.772593e-22	1.276562e-01	-1.276562e-01
0.0001        	2.523359e-01	-1.577873e-01	4.101232e-01	5.679105e-01	-5.974284e-02	6.276534e-01	-3.436981e-01	-2.839553e-01	1.261680e-01	-4.671862e-22	1.261680e-01	-1.261680e-01
0.00011       	2.530392e-01	-1.571151e-01	4.101543e-01	5.672693e-01	-5.975388e-02	6.270232e-01	-3.433885e-01	-2.836347e-01	1.265196e-01	-4.605757e-22	1.265196e-01	-1.265196e-01
0.00012       	2.503959e-01	-1.580526e-01	4.084484e-01	5.665010e-01	-5.979328e-02	6.262943e-01	-3.430438e-01	-2.832505e-01	1.251979e-01	-4.549118e-22	1.251979e-01	-1.251979e-01
0.00013       	2.514328e-01	-1.571635e-01	4.085963e-01	5.657597e-01	-5.979847e-02	6.255582e-01	-3.426783e-01	-2.828799e-01	1.257164e-01	-4.460790e-22	1.257164e-01	-1.257164e-01
0.00014       	2.490441e-01	-1.580071e-01	4.070513e-01	5.650584e-01	-5.979733e-02	6.248557e-01	-3.423265e-01	-2.825292e-01	1.245221e-01	-4.394279e-22	1.245221e-01	-1.245221e-01
0.00015       	2.493153e-01	-1.575782e-01	4.068935e-01	5.644717e-01	-5.976221e-02	6.242339e-01	-3.419980e-01	-2.822358e-01	1.246576e-01	-4.352828e-22	1.246576e-01	-1.246576e-01
0.00016       	2.491320e-01	-1.573151e-01	4.064471e-01	5.637622e-01	-5.979035e-02	6.235526e-01	-3.416715e-01	-2.818811e-01	1.245660e-01	-4.303214e-22	1.245660e-01	-1.245660e-01
0.00017       	2.473143e-01	-1.579896e-01	4.053040e-01	5.632936e-01	-5.971497e-02	6.230086e-01	-3.413618e-01	-2.816468e-01	1.236572e-01	-4.269045e-22	1.236572e-01	-1.236572e-01
0.00018       	2.473871e-01	-1.576471e-01	4.050342e-01	5.626813e-01	-5.972298e-02	6.224043e-01	-3.410636e-01	-2.813406e-01	1.236935e-01	-4.170764e-22	1.236935e-01	-1.236935e-01
0.00019       	2.480487e-01	-1.570460e-01	4.050946e-01	5.621406e-01	-5.971296e-02	6.218536e-01	-3.407833e-01	-2.810703e-01	1.240243e-01	-4.088367e-22	1.240243e-01	-1.240243e-01
0.0002        	2.468688e-01	-1.574174e-01	4.042862e-01	5.617036e-01	-5.965419e-02	6.213577e-01	-3.405060e-01	-2.808518e-01	1.234344e-01	-4.117394e-22	1.234344e-01	-1.234344e-01
0.00021       	2.457361e-01	-1.577307e-01	4.034668e-01	5.611975e-01	-5.964582e-02	6.208433e-01	-3.402445e-01	-2.805987e-01	1.228681e-01	-4.060600e-22	1.228681e-01	-1.228681e-01
0.00022       	2.459274e-01	-1.573843e-01	4.033117e-01	5.606960e-01	-5.964307e-02	6.203391e-01	-3.399911e-01	-2.803480e-01	1.229637e-01	-4.088942e-22	1.229637e-01	-1.229637e-01
0.00023       	2.467798e-01	-1.567453e-01	4.035251e-01	5.602703e-01	-5.961292e-02	6.198832e-01	-3.397481e-01	-2.801352e-01	1.233899e-01	-4.182505e-22	1.233899e-01	-1.233899e-01
0.00024       	2.460591e-01	-1.569019e-01	4.029609e-01	5.598628e-01	-5.957806e-02	6.194409e-01	-3.395095e-01	-2.799314e-01	1.230295e-01	-4.234727e-22	1.230295e-01	-1.230295e-01
0.00025       	2.452654e-01	-1.570675e-01	4.023328e-01	5.594003e-01	-5.957445e-02	6.189747e-01	-3.392746e-01	-2.797001e-01	1.226327e-01	-4.293884e-22	1.226327e-01	-1.226327e-01
0.00026       	2.446463e-01	-1.571664e-01	4.018126e-01	5.589790e-01	-5.955616e-02	6.185351e-01	-3.390456e-01	-2.794895e-01	1.223231e-01	-4.354876e-22	1.223231e-01	-1.223231e-01
0.00027       	2.446412e-01	-1.570031e-01	4.016443e-01	5.586474e-01	-5.950196e-02	6.181493e-01	-3.388256e-01	-2.793237e-01	1.223206e-01	-4.372499e-22	1.223206e-01	-1.223206e-01
